Checkcase, Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Checkcase 3, Two_Body, 1.15263e-06 m, 8.21942e-07 m, 2.63415e-06 m, 1.36897e-09 m, 1.2929e-07 cm/s, 9.18349e-08 cm/s, 2.9089e-07 cm/s, 1.22699e-10 cm/s
Checkcase 3, Cowells_Method, 2.12151e-06 m, 1.94208e-06 m, 7.03431e-06 m, 1.36897e-09 m, 2.40918e-07 cm/s, 2.19114e-07 cm/s, 7.60277e-07 cm/s, 1.22699e-10 cm/s
Checkcase 3, Keplerian_VOP, 7.37598e-06 m, 4.39303e-06 m, 1.3458e-05 m, 1.36897e-09 m, 8.36633e-07 cm/s, 4.98106e-07 cm/s, 1.55116e-06 cm/s, 1.22699e-10 cm/s
Checkcase 3, Equinoctial_VOP, 7.25852e-06 m, 4.38224e-06 m, 1.32574e-05 m, 2.44889e-09 m, 8.22222e-07 cm/s, 4.98586e-07 cm/s, 1.5283e-06 cm/s, 2.71753e-10 cm/s
Checkcase 2, Two_Body, 0.00046621 m, 0.000269897 m, 0.000901377 m, 2.514e-09 m, 5.27707e-05 cm/s, 3.0641e-05 cm/s, 0.000103065 cm/s, 1.94453e-10 cm/s
Checkcase 2, Cowells_Method, 0.00046524 m, 0.000268874 m, 0.000898553 m, 2.514e-09 m, 5.2659e-05 cm/s, 3.05215e-05 cm/s, 0.000102507 cm/s, 1.94453e-10 cm/s
Checkcase 2, Keplerian_VOP, 0.00047467 m, 0.000274874 m, 0.00091567 m, 2.514e-09 m, 5.37312e-05 cm/s, 3.12067e-05 cm/s, 0.000104818 cm/s, 1.94453e-10 cm/s
Checkcase 2, Equinoctial_VOP, 0.000474556 m, 0.000274846 m, 0.000915469 m, 2.72848e-09 m, 5.37163e-05 cm/s, 3.12069e-05 cm/s, 0.000104795 cm/s, 4.0817e-10 cm/s
Checkcase 1, Two_Body, 1.02193e-05 m, 7.2058e-06 m, 2.15217e-05 m, 1.42072e-08 m, 1.15885e-06 cm/s, 8.17376e-07 cm/s, 2.44369e-06 cm/s, 8.21565e-10 cm/s
Checkcase 1, Cowells_Method, 1.11912e-05 m, 8.26797e-06 m, 2.67394e-05 m, 1.42072e-08 m, 1.27077e-06 cm/s, 9.39121e-07 cm/s, 3.00132e-06 cm/s, 8.21565e-10 cm/s
Checkcase 1, Keplerian_VOP, 2.01895e-06 m, 2.20995e-06 m, 8.28424e-06 m, 1.22529e-08 m, 2.27702e-07 cm/s, 2.5171e-07 cm/s, 9.27576e-07 cm/s, 1.06419e-09 cm/s
Checkcase 1, Equinoctial_VOP, 2.06585e-06 m, 2.28541e-06 m, 8.48528e-06 m, 6.98596e-09 m, 2.32684e-07 cm/s, 2.60632e-07 cm/s, 9.50369e-07 cm/s, 5.99931e-10 cm/s
Checkcase 0, Two_Body, 0.000439215 m, 0.000155127 m, 0.00084044 m, 1.36897e-09 m, 4.49567e-05 cm/s, 1.46666e-05 cm/s, 7.8551e-05 cm/s, 1.22699e-10 cm/s
Checkcase 0, Cowells_Method, 0.000439171 m, 0.00015509 m, 0.000840672 m, 1.36897e-09 m, 4.49577e-05 cm/s, 1.46646e-05 cm/s, 7.85466e-05 cm/s, 1.22699e-10 cm/s
Checkcase 0, Keplerian_VOP, 0.000439414 m, 0.000155347 m, 0.000838366 m, 1.36897e-09 m, 4.49559e-05 cm/s, 1.46747e-05 cm/s, 7.82507e-05 cm/s, 1.22699e-10 cm/s
Checkcase 0, Equinoctial_VOP, 0.000439418 m, 0.000155346 m, 0.000838373 m, 2.44889e-09 m, 4.49559e-05 cm/s, 1.46743e-05 cm/s, 7.82622e-05 cm/s, 2.71753e-10 cm/s
Checkcase 4, Two_Body, 1.51338e-05 m, 8.73725e-06 m, 3.47038e-05 m, 1.36897e-09 m, 1.69645e-06 cm/s, 9.97869e-07 cm/s, 3.74112e-06 cm/s, 1.22699e-10 cm/s
Checkcase 4, Cowells_Method, 1.60912e-05 m, 9.77548e-06 m, 3.92947e-05 m, 1.36897e-09 m, 1.8071e-06 cm/s, 1.11825e-06 cm/s, 4.27058e-06 cm/s, 1.22699e-10 cm/s
Checkcase 4, Keplerian_VOP, 7.52488e-06 m, 4.02404e-06 m, 2.09249e-05 m, 1.36897e-09 m, 8.22723e-07 cm/s, 4.52808e-07 cm/s, 2.18895e-06 cm/s, 1.22699e-10 cm/s
Checkcase 4, Equinoctial_VOP, 7.6014e-06 m, 4.06972e-06 m, 2.11237e-05 m, 2.44889e-09 m, 8.3104e-07 cm/s, 4.58881e-07 cm/s, 2.21134e-06 cm/s, 2.71753e-10 cm/s
