Checkcase, Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Checkcase 1, Cowells_Method, 545.056 m, 313.808 m, 1053.07 m, 1.42072e-08 m, 61.8738 cm/s, 35.4779 cm/s, 121.743 cm/s, 1.06594e-09 cm/s
Checkcase 1, Keplerian_VOP, 545.056 m, 313.808 m, 1053.07 m, 1.42072e-08 m, 61.8738 cm/s, 35.4779 cm/s, 121.743 cm/s, 1.06594e-09 cm/s
Checkcase 1, Equinoctial_VOP, 556.977 m, 318.512 m, 1079.98 m, 1.46104e-08 m, 63.4099 cm/s, 36.0639 cm/s, 123.251 cm/s, 1.1128e-09 cm/s
Checkcase 3, Cowells_Method, 549.629 m, 316.673 m, 1061.35 m, 1.36897e-09 m, 62.3923 cm/s, 35.8016 cm/s, 122.725 cm/s, 1.22699e-10 cm/s
Checkcase 3, Keplerian_VOP, 549.629 m, 316.673 m, 1061.35 m, 1.36897e-09 m, 62.3923 cm/s, 35.8016 cm/s, 122.725 cm/s, 1.22699e-10 cm/s
Checkcase 3, Equinoctial_VOP, 561.586 m, 321.318 m, 1088.87 m, 2.44889e-09 m, 63.9318 cm/s, 36.3827 cm/s, 124.233 cm/s, 2.71753e-10 cm/s
Checkcase 2, Cowells_Method, 548.637 m, 316.133 m, 1059.62 m, 2.514e-09 m, 62.2798 cm/s, 35.7407 cm/s, 122.526 cm/s, 1.94453e-10 cm/s
Checkcase 2, Keplerian_VOP, 548.637 m, 316.133 m, 1059.62 m, 2.514e-09 m, 62.2798 cm/s, 35.7407 cm/s, 122.526 cm/s, 1.94453e-10 cm/s
Checkcase 2, Equinoctial_VOP, 560.594 m, 320.783 m, 1087.16 m, 2.72848e-09 m, 63.8193 cm/s, 36.3219 cm/s, 124.034 cm/s, 4.0817e-10 cm/s
Checkcase 4, Cowells_Method, 548.669 m, 316.205 m, 1059.82 m, 1.36897e-09 m, 62.2835 cm/s, 35.7489 cm/s, 122.55 cm/s, 1.22699e-10 cm/s
Checkcase 4, Keplerian_VOP, 548.669 m, 316.205 m, 1059.82 m, 1.36897e-09 m, 62.2835 cm/s, 35.7489 cm/s, 122.55 cm/s, 1.22699e-10 cm/s
Checkcase 4, Equinoctial_VOP, 560.626 m, 320.856 m, 1087.35 m, 2.44889e-09 m, 63.823 cm/s, 36.3302 cm/s, 124.057 cm/s, 2.71753e-10 cm/s
