Checkcase, Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Checkcase 4, Cowells_Method, 748.086 m, 787.17 m, 2772.28 m, 2.23937e-09 m, 84.548 cm/s, 89.0019 cm/s, 307.374 cm/s, 2.62154e-10 cm/s
Checkcase 4, Keplerian_VOP, 748.086 m, 787.17 m, 2772.28 m, 2.23937e-09 m, 84.548 cm/s, 89.0019 cm/s, 307.374 cm/s, 2.62154e-10 cm/s
Checkcase 4, Equinoctial_VOP, 1017.38 m, 1064.14 m, 4138.07 m, 2.82392e-09 m, 103.64 cm/s, 103.288 cm/s, 378.561 cm/s, 2.47508e-10 cm/s
Checkcase 3, Cowells_Method, 747.289 m, 786.534 m, 2770.56 m, 2.23937e-09 m, 84.4564 cm/s, 88.9302 cm/s, 307.175 cm/s, 2.62154e-10 cm/s
Checkcase 3, Keplerian_VOP, 747.289 m, 786.534 m, 2770.56 m, 2.23937e-09 m, 84.4564 cm/s, 88.9302 cm/s, 307.175 cm/s, 2.62154e-10 cm/s
Checkcase 3, Equinoctial_VOP, 1016.8 m, 1063.53 m, 4136.34 m, 2.82392e-09 m, 103.56 cm/s, 103.219 cm/s, 378.366 cm/s, 2.47508e-10 cm/s
Checkcase 1, Cowells_Method, 748.637 m, 787.575 m, 2772.88 m, 1.38399e-08 m, 84.6115 cm/s, 89.0487 cm/s, 307.471 cm/s, 1.72605e-08 cm/s
Checkcase 1, Keplerian_VOP, 748.637 m, 787.575 m, 2772.88 m, 1.38399e-08 m, 84.6115 cm/s, 89.0487 cm/s, 307.471 cm/s, 1.72605e-08 cm/s
Checkcase 1, Equinoctial_VOP, 1017.73 m, 1064.49 m, 4138.83 m, 1.32858e-08 m, 103.692 cm/s, 103.331 cm/s, 378.655 cm/s, 1.72498e-08 cm/s
Checkcase 2, Cowells_Method, 748.082 m, 787.167 m, 2772.27 m, 2.16005e-09 m, 84.5475 cm/s, 89.0015 cm/s, 307.373 cm/s, 3.58907e-10 cm/s
Checkcase 2, Keplerian_VOP, 748.082 m, 787.167 m, 2772.27 m, 2.16005e-09 m, 84.5475 cm/s, 89.0015 cm/s, 307.373 cm/s, 3.58907e-10 cm/s
Checkcase 2, Equinoctial_VOP, 1017.37 m, 1064.14 m, 4138.06 m, 2.44889e-09 m, 103.639 cm/s, 103.288 cm/s, 378.559 cm/s, 3.39663e-10 cm/s
