Checkcase, Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Checkcase 1, Cowells_Method, 438.62 m, 548.992 m, 2095.43 m, 1.38399e-08 m, 47.6253 cm/s, 58.1249 cm/s, 219.827 cm/s, 1.72605e-08 cm/s
Checkcase 1, Keplerian_VOP, 438.62 m, 548.992 m, 2095.43 m, 1.38399e-08 m, 47.6253 cm/s, 58.1249 cm/s, 219.827 cm/s, 1.72605e-08 cm/s
Checkcase 1, Equinoctial_VOP, 883.754 m, 872.47 m, 3667.51 m, 1.32858e-08 m, 76.0514 cm/s, 77.3318 cm/s, 304.13 cm/s, 1.72498e-08 cm/s
Checkcase 3, Cowells_Method, 437.666 m, 547.996 m, 2093.08 m, 2.23937e-09 m, 47.5003 cm/s, 58.0103 cm/s, 219.531 cm/s, 2.62154e-10 cm/s
Checkcase 3, Keplerian_VOP, 437.666 m, 547.996 m, 2093.08 m, 2.23937e-09 m, 47.5003 cm/s, 58.0103 cm/s, 219.531 cm/s, 2.62154e-10 cm/s
Checkcase 3, Equinoctial_VOP, 883.438 m, 871.518 m, 3665.01 m, 2.82392e-09 m, 75.9748 cm/s, 77.2236 cm/s, 303.838 cm/s, 2.47508e-10 cm/s
Checkcase 4, Cowells_Method, 438.302 m, 548.59 m, 2094.79 m, 2.23937e-09 m, 47.5824 cm/s, 58.0753 cm/s, 219.73 cm/s, 2.62154e-10 cm/s
Checkcase 4, Keplerian_VOP, 438.302 m, 548.59 m, 2094.79 m, 2.23937e-09 m, 47.5824 cm/s, 58.0753 cm/s, 219.73 cm/s, 2.62154e-10 cm/s
Checkcase 4, Equinoctial_VOP, 883.69 m, 872.12 m, 3666.73 m, 2.82392e-09 m, 76.0246 cm/s, 77.29 cm/s, 304.032 cm/s, 2.47508e-10 cm/s
Checkcase 2, Cowells_Method, 438.299 m, 548.586 m, 2094.78 m, 2.16005e-09 m, 47.582 cm/s, 58.0749 cm/s, 219.728 cm/s, 3.58907e-10 cm/s
Checkcase 2, Keplerian_VOP, 438.299 m, 548.586 m, 2094.78 m, 2.16005e-09 m, 47.582 cm/s, 58.0749 cm/s, 219.728 cm/s, 3.58907e-10 cm/s
Checkcase 2, Equinoctial_VOP, 883.689 m, 872.117 m, 3666.72 m, 2.44889e-09 m, 76.0244 cm/s, 77.2896 cm/s, 304.031 cm/s, 3.39663e-10 cm/s
